,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low
0,2,Morning Run,4035.7,1863,1870,6,Run,Run,,14772429759,2025-06-12T01:39:08Z,2025-06-12T07:09:08Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,2,0,2,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[18.516819, 73.926508]","[18.518469, 73.930662]",2.166,3.681,72.4,TRUE,149.4,166,FALSE,TRUE,618.2,610.7
1,2,Morning Weight Training,0,2348,2348,0,WeightTraining,WeightTraining,,14761609278,2025-06-11T02:19:09Z,2025-06-11T07:49:09Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,2,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,106.8,136,FALSE,TRUE,0,0
2,2,Morning Run,4514,2131,2142,9.6,Run,Run,,14750732914,2025-06-10T01:21:25Z,2025-06-10T06:51:25Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,2,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[18.516739, 73.926467]","[18.516166, 73.930628]",2.118,3.634,72.9,TRUE,148.3,165,FALSE,TRUE,592,584.9
3,2,Evening Weight Training,0,2655,2655,0,WeightTraining,WeightTraining,,14745421462,2025-06-09T14:27:59Z,2025-06-09T19:57:59Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,3,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,110.5,161,FALSE,TRUE,0,0
4,2,Morning Run,3699.7,1803,1811,5.6,Run,Run,,14720559379,2025-06-07T01:43:11Z,2025-06-07T07:13:11Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,4,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[18.516844, 73.926559]","[18.518645, 73.926883]",2.052,5.09,72.2,TRUE,149.4,161,FALSE,TRUE,560.4,552.2
5,2,Morning Weight Training,0,2325,2325,0,WeightTraining,WeightTraining,,14720559060,2025-06-06T02:41:48Z,2025-06-06T08:11:48Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,3,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,118.6,154,FALSE,TRUE,0,0
6,2,Morning Run,4007.3,1889,1889,5.7,Run,Run,,14710172130,2025-06-06T01:37:47Z,2025-06-06T07:07:47Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,4,0,2,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[18.51675, 73.92651]","[18.518493, 73.928932]",2.121,3.125,73,TRUE,150.3,163,FALSE,TRUE,561.4,553.2
7,2,Morning Workout,0,2021,2021,0,Workout,Workout,,14700605306,2025-06-05T02:12:14Z,2025-06-05T07:42:14Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,3,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,120,159,FALSE,TRUE,0,0
8,2,Morning Run,4361.8,1804,1804,9.1,Run,Run,,14700605293,2025-06-05T01:29:36Z,2025-06-05T06:59:36Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,3,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[18.516717, 73.926526]","[18.51737, 73.92626]",2.418,4.323,75.4,TRUE,158.4,186,FALSE,TRUE,568,562.5
9,2,Vrukshathon Half Marathon 2025,20999.8,8670,8701,133.7,Run,Run,0,14657697529,2025-05-31T23:30:28Z,2025-06-01T05:00:28Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,6,2,11,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[18.529623, 73.84503]","[18.530818, 73.848318]",2.422,7.302,78.1,TRUE,178.6,195,TRUE,TRUE,666.6,576.6
