quarter,team,sales
Q1-2022,Marketing,150000
Q1-2022,Sales,250000
Q1-2022,Engineering,100000
Q1-2022,Customer Support,50000
Q2-2022,Marketing,180000
Q2-2022,Sales,280000
Q2-2022,Engineering,110000
Q2-2022,Customer Support,55000
Q3-2022,Marketing,-50000
Q3-2022,Sales,300000
Q3-2022,Engineering,200000
Q3-2022,Customer Support,60000
Q4-2022,Marketing,210000
Q4-2022,Sales,50000000
Q4-2022,Engineering,N/A
Q4-2022,Customer Support,65000
Q1-2023,Marketing,195000
Q1-2023,Sales,290000
Q1-2023,Engineering,120000
Q1-2023,Customer Support,62000
Q2-2023,Marketing,205000
Q2-2023,Sales,310000
Q2-2023,Engineering,125000
Q2-2023,Customer Support,68000
Q3-2023,Marketing,220000
Q3-2023,Sales,330000
Q3-2023,Engineering,140000
Q3-2023,Customer Support,70000
Q4-2023,Marketing,240000
Q4-2023,Sales,350000
Q4-2023,Engineering,150000
Q4-2023,Customer Support,75000
Q1-2024,Marketing,250000
Q1-2024,Sales,360000
Q1-2024,Engineering,160000
Q1-2024,Customer Support,80000
Q2-2024,Marketing,270000
Q2-2024,Sales,380000
Q2-2024,Engineering,170000
Q2-2024,Customer Support,85000
Q3-2024,Marketing,280000
Q3-2024,Sales,400000
Q3-2024,Engineering,180000
Q3-2024,Customer Support,90000
Q4-2024,Marketing,295000
Q4-2024,Sales,415000
Q4-2024,Engineering,190000
Q4-2024,Customer Support,92000
Q1-2025,Marketing,300000
Q1-2025,Sales,420000
Q1-2025,Engineering,200000
Q1-2025,Customer Support,95000
Q2-2025,Marketing,310000
Q2-2025,Sales,430000
Q2-2025,Engineering,210000
Q2-2025,Customer Support,100000
Q3-2025,Marketing,320000
Q3-2025,Sales,450000
Q3-2025,Engineering,220000
Q3-2025,Customer Support,105000
Q4-2025,Marketing,330000
Q4-2025,Sales,460000
Q4-2025,Engineering,230000
Q4-2025,Customer Support,110000
Q1-2026,Marketing,340000
Q1-2026,Sales,470000
Q1-2026,Engineering,240000
Q1-2026,Customer Support,115000
Q2-2026,Marketing,350000
Q2-2026,Sales,480000
Q2-2026,Engineering,250000
Q2-2026,Customer Support,120000
Q3-2026,Marketing,360000
Q3-2026,Sales,490000
Q3-2026,Engineering,260000
Q3-2026,Customer Support,125000
Q4-2026,Marketing,370000
Q4-2026,Sales,500000
Q4-2026,Engineering,270000
Q4-2026,Customer Support,130000
Q1-2027,Marketing,380000
Q1-2027,Sales,510000
Q1-2027,Engineering,280000
Q1-2027,Customer Support,135000
Q2-2027,Marketing,390000
Q2-2027,Sales,520000
Q2-2027,Engineering,290000
Q2-2027,Customer Support,140000
Q3-2027,Marketing,400000
Q3-2027,Sales,530000
Q3-2027,Engineering,300000
Q3-2027,Customer Support,145000
Q4-2027,Marketing,410000
Q4-2027,Sales,540000
Q4-2027,Engineering,310000
Q4-2027,Customer Support,150000
Q1-2028,Marketing,420000
Q1-2028,Sales,550000
Q1-2028,Engineering,320000
Q1-2028,Customer Support,155000
Q2-2028,Marketing,430000
Q2-2028,Sales,560000
Q2-2028,Engineering,330000
Q2-2028,Customer Support,160000
Q3-2028,Marketing,440000
Q3-2028,Sales,570000
Q3-2028,Engineering,340000
Q3-2028,Customer Support,165000
Q4-2028,Marketing,450000
Q4-2028,Sales,580000
Q4-2028,Engineering,350000
Q4-2028,Customer Support,170000
Q1-2029,Marketing,460000
Q1-2029,Sales,590000
Q1-2029,Engineering,360000
Q1-2029,Customer Support,175000
Q2-2029,Marketing,470000
Q2-2029,Sales,600000
Q2-2029,Engineering,370000
Q2-2029,Customer Support,180000
Q3-2029,Marketing,480000
Q3-2029,Sales,610000
Q3-2029,Engineering,380000
Q3-2029,Customer Support,185000
Q4-2029,Marketing,490000
Q4-2029,Sales,620000
Q4-2029,Engineering,390000
Q4-2029,Customer Support,190000
Q1-2030,Marketing,500000
Q1-2030,Sales,630000
Q1-2030,Engineering,400000
Q1-2030,Customer Support,195000
Q2-2030,Marketing,510000
Q2-2030,Sales,640000
Q2-2030,Engineering,410000
Q2-2030,Customer Support,200000
Q3-2030,Marketing,520000
Q3-2030,Sales,650000
Q3-2030,Engineering,420000
Q3-2030,Customer Support,205000
Q4-2030,Marketing,530000
Q4-2030,Sales,660000
Q4-2030,Engineering,430000
Q4-2030,Customer Support,210000
Q1-2031,Marketing,540000
Q1-2031,Sales,670000
Q1-2031,Engineering,440000
Q1-2031,Customer Support,215000
Q2-2031,Marketing,550000
Q2-2031,Sales,680000
Q2-2031,Engineering,450000
Q2-2031,Customer Support,220000
Q3-2031,Marketing,560000
Q3-2031,Sales,690000
Q3-2031,Engineering,460000
Q3-2031,Customer Support,225000
Q4-2031,Marketing,570000
Q4-2031,Sales,700000
Q4-2031,Engineering,470000
Q4-2031,Customer Support,230000
Q1-2032,Marketing,580000
Q1-2032,Sales,710000
Q1-2032,Engineering,480000
Q1-2032,Customer Support,235000
Q2-2032,Marketing,590000
Q2-2032,Sales,720000
Q2-2032,Engineering,490000
Q2-2032,Customer Support,240000
Q3-2032,Marketing,600000
Q3-2032,Sales,730000
Q3-2032,Engineering,500000
Q3-2032,Customer Support,245000
Q4-2032,Marketing,610000
Q4-2032,Sales,740000
Q4-2032,Engineering,510000
Q4-2032,Customer Support,250000
Q1-2033,Marketing,620000
Q1-2033,Sales,750000
Q1-2033,Engineering,520000
Q1-2033,Customer Support,255000
Q2-2033,Marketing,630000
Q2-2033,Sales,760000
Q2-2033,Engineering,530000
Q2-2033,Customer Support,260000
Q3-2033,Marketing,640000
Q3-2033,Sales,770000
Q3-2033,Engineering,540000
Q3-2033,Customer Support,265000
Q4-2033,Marketing,650000
Q4-2033,Sales,780000
Q4-2033,Engineering,550000
Q4-2033,Customer Support,270000
Q1-2034,Marketing,660000
Q1-2034,Sales,790000
Q1-2034,Engineering,560000
Q1-2034,Customer Support,275000
Q2-2034,Marketing,670000
Q2-2034,Sales,800000
Q2-2034,Engineering,570000
Q2-2034,Customer Support,280000
Q3-2034,Marketing,680000
Q3-2034,Sales,810000
Q3-2034,Engineering,580000
Q3-2034,Customer Support,285000
Q4-2034,Marketing,690000
Q4-2034,Sales,820000
Q4-2034,Engineering,590000
Q4-2034,Customer Support,290000
Q1-2035,Marketing,700000
Q1-2035,Sales,830000
Q1-2035,Engineering,600000
Q1-2035,Customer Support,295000
Q2-2035,Marketing,710000
Q2-2035,Sales,840000
Q2-2035,Engineering,610000
Q2-2035,Customer Support,300000
Q3-2035,Marketing,720000
Q3-2035,Sales,850000
Q3-2035,Engineering,620000
Q3-2035,Customer Support,305000
Q4-2035,Marketing,730000
Q4-2035,Sales,860000
Q4-2035,Engineering,630000
Q4-2035,Customer Support,310000
Q1-2036,Marketing,740000
Q1-2036,Sales,870000
Q1-2036,Engineering,640000
Q1-2036,Customer Support,315000
Q2-2036,Marketing,750000
Q2-2036,Sales,880000
Q2-2036,Engineering,650000
Q2-2036,Customer Support,320000
Q3-2036,Marketing,760000
Q3-2036,Sales,890000
Q3-2036,Engineering,660000
Q3-2036,Customer Support,325000
Q4-2036,Marketing,770000
Q4-2036,Sales,900000
Q4-2036,Engineering,670000
Q4-2036,Customer Support,330000
Q1-2037,Marketing,780000
Q1-2037,Sales,910000
Q1-2037,Engineering,680000
Q1-2037,Customer Support,335000
Q2-2037,Marketing,790000
Q2-2037,Sales,920000
Q2-2037,Engineering,690000
Q2-2037,Customer Support,340000
Q3-2037,Marketing,800000
Q3-2037,Sales,930000
Q3-2037,Engineering,700000
Q3-2037,Customer Support,345000
Q4-2037,Marketing,810000
Q4-2037,Sales,940000
Q4-2037,Engineering,710000
Q4-2037,Customer Support,350000
Q1-2038,Marketing,820000
Q1-2038,Sales,950000
Q1-2038,Engineering,720000
Q1-2038,Customer Support,355000
Q2-2038,Marketing,830000
Q2-2038,Sales,960000
Q2-2038,Engineering,730000
Q2-2038,Customer Support,360000
Q3-2038,Marketing,840000
Q3-2038,Sales,970000
Q3-2038,Engineering,740000
Q3-2038,Customer Support,365000
Q4-2038,Marketing,850000
Q4-2038,Sales,980000
Q4-2038,Engineering,750000
Q4-2038,Customer Support,370000
Q1-2039,Marketing,860000
Q1-2039,Sales,990000
Q1-2039,Engineering,760000
Q1-2039,Customer Support,375000
Q2-2039,Marketing,870000
Q2-2039,Sales,1000000
Q2-2039,Engineering,770000
Q2-2039,Customer Support,380000
Q3-2039,Marketing,880000
Q3-2039,Sales,1010000
Q3-2039,Engineering,780000
Q3-2039,Customer Support,385000
Q4-2039,Marketing,890000
Q4-2039,Sales,1020000
Q4-2039,Engineering,790000
Q4-2039,Customer Support,390000
Q1-2040,Marketing,900000
Q1-2040,Sales,1030000
Q1-2040,Engineering,800000
Q1-2040,Customer Support,395000
Q2-2040,Marketing,910000
Q2-2040,Sales,1040000
Q2-2040,Engineering,810000
Q2-2040,Customer Support,400000
Q3-2040,Marketing,920000
Q3-2040,Sales,1050000
Q3-2040,Engineering,820000
Q3-2040,Customer Support,405000
Q4-2040,Marketing,930000
Q4-2040,Sales,1060000
Q4-2040,Engineering,830000
Q4-2040,Customer Support,410000
Q1-2041,Marketing,940000
Q1-2041,Sales,1070000
Q1-2041,Engineering,840000
Q1-2041,Customer Support,415000
Q2-2041,Marketing,950000
Q2-2041,Sales,1080000
Q2-2041,Engineering,850000
Q2-2041,Customer Support,420000
Q3-2041,Marketing,960000
Q3-2041,Sales,1090000
Q3-2041,Engineering,860000
Q3-2041,Customer Support,425000
Q4-2041,Marketing,970000
Q4-2041,Sales,1100000
Q4-2041,Engineering,870000
Q4-2041,Customer Support,430000
Q1-2042,Marketing,980000
Q1-2042,Sales,1110000
Q1-2042,Engineering,880000
Q1-2042,Customer Support,435000
Q2-2042,Marketing,990000
Q2-2042,Sales,1120000
Q2-2042,Engineering,890000
Q2-2042,Customer Support,440000
Q3-2042,Marketing,1000000
Q3-2042,Sales,1130000
Q3-2042,Engineering,900000
Q3-2042,Customer Support,445000
Q4-2042,Marketing,1010000
Q4-2042,Sales,1140000
Q4-2042,Engineering,910000
Q4-2042,Customer Support,450000
Q1-2043,Marketing,1020000
Q1-2043,Sales,1150000
Q1-2043,Engineering,920000
Q1-2043,Customer Support,455000
Q2-2043,Marketing,1030000
Q2-2043,Sales,1160000
Q2-2043,Engineering,930000
Q2-2043,Customer Support,460000
Q3-2043,Marketing,1040000
Q3-2043,Sales,1170000
Q3-2043,Engineering,940000
Q3-2043,Customer Support,465000
Q4-2043,Marketing,1050000
Q4-2043,Sales,1180000
Q4-2043,Engineering,950000
Q4-2043,Customer Support,470000
Q1-2044,Marketing,1060000
Q1-2044,Sales,1190000
Q1-2044,Engineering,960000
Q1-2044,Customer Support,475000
Q2-2044,Marketing,1070000
Q2-2044,Sales,1200000
Q2-2044,Engineering,970000
Q2-2044,Customer Support,480000
Q3-2044,Marketing,1080000
Q3-2044,Sales,1210000
Q3-2044,Engineering,980000
Q3-2044,Customer Support,485000
Q4-2044,Marketing,1090000
Q4-2044,Sales,1220000
Q4-2044,Engineering,990000
Q4-2044,Customer Support,490000
Q1-2045,Marketing,1100000
Q1-2045,Sales,1230000
Q1-2045,Engineering,1000000
Q1-2045,Customer Support,495000
Q2-2045,Marketing,1110000
Q2-2045,Sales,1240000
Q2-2045,Engineering,1010000
Q2-2045,Customer Support,500000
Q3-2045,Marketing,1120000
Q3-2045,Sales,1250000
Q3-2045,Engineering,1020000
Q3-2045,Customer Support,505000
Q4-2045,Marketing,1130000
Q4-2045,Sales,1260000
Q4-2045,Engineering,1030000
Q4-2045,Customer Support,510000
Q1-2046,Marketing,1140000
Q1-2046,Sales,1270000
Q1-2046,Engineering,1040000
Q1-2046,Customer Support,515000
Q2-2046,Marketing,1150000
Q2-2046,Sales,1280000
Q2-2046,Engineering,1050000
Q2-2046,Customer Support,520000
Q3-2046,Marketing,1160000
Q3-2046,Sales,1290000
Q3-2046,Engineering,1060000
Q3-2046,Customer Support,525000
Q4-2046,Marketing,1170000
Q4-2046,Sales,1300000
Q4-2046,Engineering,1070000
Q4-2046,Customer Support,530000
Q1-2047,Marketing,1180000
Q1-2047,Sales,1310000
Q1-2047,Engineering,1080000
Q1-2047,Customer Support,535000
Q2-2047,Marketing,1190000
Q2-2047,Sales,1320000
Q2-2047,Engineering,1090000
Q2-2047,Customer Support,540000
Q3-2047,Marketing,1200000
Q3-2047,Sales,1330000
Q3-2047,Engineering,1100000
Q3-2047,Customer Support,545000
Q4-2047,Marketing,1210000
Q4-2047,Sales,1340000
Q4-2047,Engineering,1110000
Q4-2047,Customer Support,550000
Q1-2048,Marketing,1220000
Q1-2048,Sales,1350000
Q1-2048,Engineering,1120000
Q1-2048,Customer Support,555000
Q2-2048,Marketing,1230000
Q2-2048,Sales,1360000
Q2-2048,Engineering,1130000
Q2-2048,Customer Support,560000
Q3-2048,Marketing,1240000
Q3-2048,Sales,1370000
Q3-2048,Engineering,1140000
Q3-2048,Customer Support,565000
Q4-2048,Marketing,1250000
Q4-2048,Sales,1380000
Q4-2048,Engineering,1150000
Q4-2048,Customer Support,570000
Q1-2049,Marketing,1260000
Q1-2049,Sales,1390000
Q1-2049,Engineering,1160000
Q1-2049,Customer Support,575000
Q2-2049,Marketing,1270000
Q2-2049,Sales,1400000
Q2-2049,Engineering,1170000
Q2-2049,Customer Support,580000
Q3-2049,Marketing,1280000
Q3-2049,Sales,1410000
Q3-2049,Engineering,1180000
Q3-2049,Customer Support,585000
Q4-2049,Marketing,1290000
Q4-2049,Sales,1420000
Q4-2049,Engineering,1190000
Q4-2049,Customer Support,590000
Q1-2050,Marketing,1300000
Q1-2050,Sales,1430000
Q1-2050,Engineering,1200000
Q1-2050,Customer Support,595000
Q2-2050,Marketing,1310000
Q2-2050,Sales,1440000
Q2-2050,Engineering,1210000
Q2-2050,Customer Support,600000
Q3-2050,Marketing,1320000
Q3-2050,Sales,1450000
Q3-2050,Engineering,1220000
Q3-2050,Customer Support,605000
Q4-2050,Marketing,1330000
Q4-2050,Sales,1460000
Q4-2050,Engineering,1230000
Q4-2050,Customer Support,610000
Q1-2051,Marketing,1340000
Q1-2051,Sales,1470000
Q1-2051,Engineering,1240000
Q1-2051,Customer Support,615000
Q2-2051,Marketing,1350000
Q2-2051,Sales,1480000
Q2-2051,Engineering,1250000
Q2-2051,Customer Support,620000
Q3-2051,Marketing,1360000
Q3-2051,Sales,1490000
Q3-2051,Engineering,1260000
Q3-2051,Customer Support,625000
Q4-2051,Marketing,1370000
Q4-2051,Sales,1500000
Q4-2051,Engineering,1270000
Q4-2051,Customer Support,630000
Q1-2052,Marketing,1380000
Q1-2052,Sales,1510000
